benchmark,CARE,LFU,LRU,Rand,SRRIP
blackscholes_8c_simlarge,1.2769177941319994,1.2769873379051022,1.2769877756055055,1.2768652907574578,1.2769755160957132
bodytrack_8c_simlarge,1.6461993614943469,1.6497950903175957,1.649281696484047,1.6444340574116454,1.648303239556815
bzip2,0.7851986140579816,0.8722306397006868,0.8486144735442677,0.7870352894159202,0.8694206551045093
cactusADM,0.7514647375291419,1.0627758970846641,1.0596746071452046,1.060744677277518,1.071466964396313
calculix,1.9817153101028468,1.9795912408840035,1.9795912408840035,1.9771945063325826,1.9823667372487694
canneal_8c_simlarge,0.2766960618245794,0.2959479243026101,0.2883160854547339,0.2815720244563551,0.29570302661093056
fluidanimate_8c_simlarge,1.2288484039468217,1.334363253130867,1.330379625125412,1.3249279223922934,1.3325518737742228
gcc,0.3688965847086139,0.7076676249022528,0.7133029225200832,0.6890470140625712,0.7445338683600796
hmmer,1.3853778700132906,1.4743456007079168,1.4485393810132494,1.456528572692854,1.440775964981004
lbm,0.41559042615258124,0.5749572580130902,0.5749572580130902,0.5767492785144044,0.5740346218741702
leslie3d,0.42269141536422133,0.46038526996426316,0.4603955693370347,0.45415749173013636,0.45924180158531475
libquantum,0.5187631072743828,0.511482811195402,0.511482811195402,0.5067864783600478,0.5110693960170776
mcf,0.125317356640457,0.12915624257074032,0.1250630617418706,0.1245906886215955,0.1296019909382621
milc,0.46437412721507376,0.6557639952438098,0.6557666398947808,0.6563333463387768,0.6552645357107354
namd,1.8036185173474717,1.8051520882094017,1.8052778730898307,1.796175623714978,1.8616074979893897
sjeng,1.1546367104698336,1.156106220015483,1.1560795998660505,1.1519996231609093,1.1546242016635546
soplex,0.2995345117083335,0.37541338668068297,0.37014271056548925,0.35624930749428313,0.3717366897862078
streamcluster_8c_simlarge,1.163076748640645,0.8795287668613958,0.6278927158760764,1.1216846051282408,1.0935060578101596
swaptions_8c_simlarge,1.5557334076645584,1.555753082901354,1.5557436195623264,1.5557110447511793,1.5557187959538226
x264_8c_simlarge,1.3267917392667008,1.620476561415774,1.6313512619867778,1.5655443039032753,1.633330552973246
xalan,0.9154286320547088,1.4148652973258815,1.4030956049494605,1.3407539753448923,1.5021475145491425
